term,count
sense,207977
información,207657
que,207375
bolsonaro,207148
poor,206528
200,206405
hey,206304
plans,206277
looks,206196
dia,205863
killed,205621
23,205518
seriously,205104
message,204996
name,204610
socialdistancing,204605
facebook,203882
came,203805
play,203805
dalam,203599
living,203387
contre,203282
yesterday,203229
vulnerable,203181
key,203115
epidemic,202989
80,201793
28,201649
buy,200427
nyc,200093
especially,199841
27,199377
crise,199305
dangerous,198946
international,198907
results,198651
mass,198611
tan,198596
concerns,198533
evidence,198439
demand,198438
ist,198410
residents,198347
casi,198182
following,197853
ke,197823
ang,197673
happen,197642
mental,197310
course,197050
worldwide,197043
países,196959
moment,196889
claims,196499
26,196445
vai,196115
dari,196059
calls,195941
ways,195731
healthy,195194
horas,195155
single,195132
borisjohnson,195077
comes,194980
nurses,194831
resources,194685
run,194655
ils,194493
san,193997
vamos,193647
list,193528
foxnews,193337
move,193129
pruebas,193108
millones,192776
un,192669
gates,192530
though,192387
heart,192246
guys,192169
zero,191931
fox,191856
access,191741
vs,191673
critical,191624
leader,191185
cuomo,190719
caused,190584
stock,190367
washington,190323
source,190038
और,190035
chief,189724
avoid,189650
bring,189273
hold,189216
briefing,189001
issue,188990
indonesia,188918
ont,188746
guy,187932
history,187812
among,187770
calling,187751
tener,187138
took,186788
higher,186510
germany,186494
ao,186433
giving,186422
digital,186193
favor,186100
went,185475
pa,185457
virtual,184950
noticias,184846
stimulus,184760
aid,184393
google,184191
ones,184102
area,184093
sono,184005
level,183942
reporting,183844
parte,183834
immunity,183726
woman,183695
negative,183636
billion,183198
della,183159
matter,183149
funding,182955
den,182928
pneumonia,182854
situación,182593
mundial,182378
thinking,182240
70,182176
ppl,182054
sector,181874
wonder,181592
frente,181511
spain,181341
finally,181014
31,180798
nytimes,180566
policy,180277
age,179753
blood,179744
common,179676
warns,178430
momento,178263
goes,178250
biden,178213
evitar,178158
special,177957
trust,177824
clear,177796
university,177504
send,177487
towards,177380
sorry,177061
después,176455
season,176390
coronavirusupdate,176299
lead,176182
parents,176031
announced,175524
details,175398
major,175145
light,175109
head,175088
infectados,174943
penyebaran,174913
huge,174771
happening,174571
hell,174313
cut,174119
date,174104
tiempo,173930
pakistan,173260
sent,173231
monday,173174
ny,173158
russia,173061
website,173032
dont,173010
facts,172964
kind,172562
inside,172449
bir,172388
half,171749
late,171713
congress,171403
center,171364
pass,171057
já,170642
killing,170472
friday,169772
cover,169572
continues,169451
heard,169394
madrid,169209
só,169201
asked,169177
takes,168634
reuters,168626
body,168381
fall,168362
mit,168015
obama,167855
causa,167804
jesus,167770
orders,167763
hate,167399
up,167263
donate,166858
médicos,166658
wuhanvirus,166440
night,166419
